,words
0,VFM
1,PEBCAC
2,WDS
3,FISH
4,MR
5,hashing
6,youie
7,QC
8,rtf
9,CAC
10,wizard
11,TBA
12,H&K
13,WT
14,HHTYAY
15,RTK
16,KYFC
17,PYOP
18,AISI
19,TBC
20,OCD
21,EESS
22,RRU
23,slashdot
24,UCWAP
25,AYTMTB
26,Y2K
27,technojunkie
28,PFC
29,URWS
30,802.1Q
31,hack
32,LOLZ
33,SLAP
34,CIX
35,BOAISY
36,CMU
37,dpi
38,IWSN
39,IS
40,SFX
41,FID
42,frontdoor
43,RGB
44,WAG
45,SADAD
46,STID
47,BHIMBGO
48,PPS
49,scheduling
50,GNS
51,GOTDPWYD
52,UCAS
53,LD
54,OLO
55,zot
56,CTA
57,UCT
58,TXT
59,WIIWII
60,wonderware
61,NBLFY
62,cyberslacker
63,RTTSD
64,MPEG
65,wiki
66,request-reply
67,YCT
68,collaborative
69,wireframe
70,RFI
71,CoNBR
72,RUFKM
73,e-cigarette
74,DQPSK
75,netsourcing
76,intrapreneur
77,RAT
78,mmk
79,LOOMM
80,STK
81,acqhire
82,YLLO
83,newsfeed
84,OMDB
85,internut
86,GIGO
87,WYRN
88,MTF
89,802.11b
90,AS
91,PUSC-ASCA
92,cookie
93,TMSAISTI
94,QLRC
95,DGYF
96,helfie
97,FBOCD
98,lowbrow
99,downstream
100,packetspace
101,point-to-multipoint
102,blanding
103,SAN
104,FSN
105,pipelining
106,kudt
107,BIF
108,linux
109,linkbaiting
110,bing
111,LPC
112,BFD
113,workstation
114,TSB
115,OS/2
116,WTFWYCM
117,IP
118,JMO
119,STYS
120,resolution
121,mosaic
122,NIMBY
123,vanilla
124,nym
125,hollywired
126,JAM
127,YGWYPF
128,DIUC
129,MSDU
130,LOMBARD
131,CEO
132,forest
133,crack
134,siliconia
135,amazon-ized
136,LMAO
137,DWS
138,WAIS
139,PU
140,GMTFT
141,BNF
142,BBT
143,10-gigabit
144,HEMM
145,FUW
146,script
147,XTC
148,photoshop
149,nonadaptive
150,english
151,huh
152,interplanetary
153,expedited
154,tweak
155,IYFEG
156,QSTA
157,TTTT
158,DYJHIW
159,FROG
160,JHO
161,DWYM
162,PIBKAC
163,FOMCL
164,ddos
165,ERP-CCK
166,WRM
167,BSBD&NE
168,FER
169,fluttering
170,NQA
171,LCD
172,IHY
173,DAFUQ
174,OBS
175,DAMA
176,LTR
177,bimp
178,prompt
179,parse
180,LMFAO
181,ne2h
182,1000base-t
183,WD
184,reg
185,AWTTW
186,TMSGO
187,NSFW
188,NSP
189,CU
190,CDMA
191,user-friendly
192,NISM
193,PRN
194,SFLA
195,bypass
196,GLYASDI
197,sry
198,RAF
199,MMX
200,needham-schroeder
201,HHOK
202,nonpersistent
203,hack-o-grams
204,WG
205,MOOS
206,music-swapping
207,RSC
208,GAFL
209,TK
210,FOOT
211,GMH
212,YAOTM
213,CTR
214,PBB
215,dwight
216,TTG
217,ipv6
218,propellerhead
219,MAC_P
220,plog
221,PIF
222,FDFF
223,ROTFL
224,MOMPL
225,IMGC
226,GPCS
227,GSM
228,DBMIB
229,JOY
230,sidejack
231,B2D
232,AKMP
