,words
0,start frame delimiter
1,improved mobile telephone system
2,coexistence contention window
3,earth's population e-mail
4,block turbo code
5,cipher block chaining message authentication code
6,visits per user
7,controlled access phase
8,classless interdomain routing
9,pairwise transient key
10,mobile phone system first-generation
11,logical resource unit
12,generic mac header
13,mime mime type
14,station short retry count
15,eap integrity key
16,compared to h.323
17,open system interconnection
18,internet corporation for assigned names and numbers
19,link control protocol
20,spe spectrum allocation
21,reverse path forwarding algorithm
22,international mobile telecommunication-2000
23,protocol data unit
24,difs digital advanced mobile phone system
25,operation coexistence signaling interval
26,arbitration interframe space number
27,receive/transmit transition gap
28,voice jail system
29,power saving class
30,wireless distribution media
31,reordered ul harq mini-tile
32,phase shift keying
33,dc level adjustment
34,authorization key identifier
35,established before break
36,UUENCODE - UUDECODE
37,protection against wrapped sequence numbers
38,network control protocol
39,adaptive modulation and coding
40,digital estate management service
41,henry the forger
42,non-return-to-zero inverted encoding
43,master session key
44,third generation partnership project
45,complimentary quote rule
46,drop down menu
47,differential quadrature phase shift keying
48,losing your virginity
49,fsk full-duplex link
50,hlr home agent
51,non-synchronized ranging channel
52,ad click rate
53,basic service area
54,future of tcp
55,short interframe spacing
56,unequal error protection
57,social network filtering
58,hcf controlled channel access
59,port access entity
60,data delivery service
61,mac control extended header
62,admission control unit
63,plcp protocol data unit
64,cs pdu format
65,coordinated coexistence contention-based protocol
66,pgp phase shift keying
67,autonomous system backbone
68,relation to services
69,fragmentation and packing extended header
70,electronic book reader
71,in quantum cryptography
72,phys using ofdm modulation under 19.5 rules
73,automated purchasing system
74,quality of service
75,receive power indicator
76,dotted decimal notation internet
77,nav near field communication
78,medium access control sublayer
79,abbreviation not used as verb
80,certified used car
81,permanent virtual circuit
82,cold potato routing
83,subscriber station uplink radio frequency transmit power control
84,channel center frequency
85,aid with differential encoding
86,pki plain old telephone service
87,"authentication, authorization, and accounting"
88,synchronized ranging channel
89,transition security network
90,broadband wireless access
91,supply chain execution
92,packet over sonet
93,common gateway interface
94,authentication and service authorization
95,context retention identifier
96,"idk, my bff jill"
97,extended interframe space
98,self organizing networks
99,relay receive/transmit transition interval
100,temporary key integrity protocol
101,denial of service
102,chief community strategist
103,ietf rfc 1305-1992
104,operating base station
105,real-time transport protocols
106,chips and salsa
107,path mtu discovery
108,location configuration information
109,message unique identifier
110,multiplexing extended header
111,fuzzy expert system
112,cable modem termination system
113,dmt dns name space
114,or network node interface
115,257random early detection
116,dynamic host configuration protocol
117,version 5) ipv(see internet protocol
118,epc equal cost multipath
119,media independent handover
120,standard de facto
121,decibels of gain relative to the zero db gain of a free-space isotropic radiator
122,load-shedding policy milk
123,"if i tell you, i'll have to kill you"
124,demand assigned multiple access
125,simple internet protocol
126,rnc robbed-bit signaling
127,virtual channel identifier
128,defragging the office
129,vest in peace
130,java virtual machine
131,management information base
132,resilient packet ring
133,customer relationship marketing
134,growing the business
135,timing synchronization function
136,header check sequence
137,preferred matrix index
138,freedom of speech
139,binary exponential backoff
140,uplink frequency partition configuration
141,maximum transmission unit
142,769ll2cap label edge router
143,convolutional turbo codes
144,aol instant messenger
145,post office protocol
146,sub-network access protocol
147,new consumer paradigm
148,photo messaging application
149,ah air interface
150,access category index
151,resource reservation protocol
152,mimo encoder format
153,44token passing protocol
154,robust security network association
155,web site usability
156,random access identifier
157,van allen belt
158,non-qos access point
159,fast segment processing
160,gateway gprs support node
161,toll connecting trunk
162,target short beacon transmission time
163,initializing base station
164,personal communications service
165,robbed-bit signature block
166,frame error ratio
167,scheduled automatic power-save delivery
168,streaming live media
169,security association identifier
170,sms snail mail
